pk,start_year,start_month,start_day,calendar_start,end_year,end_month,end_day,calendar_end,type,lon,lat
1,1263,,,1,1917,,,1,1,,
2,,,,1,,,,1,1,,
3,,,,1,,,,1,2,,
4,,,,1,,,,1,2,,
5,,,,1,,,,1,2,,
6,,,,1,,,,1,2,,
7,,,,1,,,,1,2,,
8,,,,1,,,,1,2,,
9,,,,1,,,,1,2,,
10,,,,1,,,,1,2,,
11,,,,1,,,,1,2,,
12,,,,1,,,,1,2,,
13,,,,1,,,,1,2,,
14,,,,1,,,,1,2,,
15,,,,1,,,,1,2,,
16,,,,1,,,,1,2,,
17,,,,1,,,,1,2,,
18,,,,1,,,,1,2,,
19,,,,1,,,,1,2,,
20,,,,1,,,,1,2,,
21,,,,1,,,,1,2,,
22,,,,1,,,,1,2,,
23,,,,1,,,,1,2,,
24,,,,1,,,,1,2,,
25,,,,1,,,,1,2,,
26,,,,1,,,,1,2,,
27,,,,1,,,,1,2,,
28,,,,1,,,,1,2,,
29,1727,,,1,1927,,,1,2,,
30,1744,3,15,1,1920,,,1,2,,
31,1772,,,1,1927,,,1,2,,
32,,,,1,,,,1,2,,
33,,,,1,,,,1,2,,
34,,,,1,,,,1,2,,
35,,,,1,,,,1,2,,
36,,,,1,,,,1,2,,
37,,,,1,,,,1,2,,
38,,,,1,,,,1,2,,
39,,,,1,,,,1,2,,
40,,,,1,,,,1,2,,
41,1719,,,1,1775,11,,1,2,,
42,1719,,,1,1775,11,,1,2,,
43,1719,,,1,1775,11,,1,2,,
44,1719,,,1,1775,11,,1,2,,
45,1719,,,1,1775,11,,1,2,,
46,1719,,,1,1775,11,,1,2,,
47,1719,,,1,1775,11,,1,2,,
48,1719,,,1,1775,11,,1,2,,
49,1719,,,1,1775,11,,1,2,,
50,800,,,1,,,,1,3,37.6175,55.7505556
51,1600,,,1,,,,1,3,36.04972,55.42
52,1358,,,1,,,,1,3,36.48333,55.2
53,1371,,,1,,,,1,3,36.18333,55.33333
54,1135,,,1,,,,1,3,35.95,56.03333
55,1154,,,1,,,,1,3,37.52167,56.34667
56,1152,,,1,,,,1,3,36.85,55.73333
57,1356,,,1,,,,1,3,38.15,54.83333
58,1317,,,1,,,,1,3,36.7125,56.33389
59,1110,,,1,,,,1,3,38.76806,55.09389
60,1402,,,1,,,,1,3,36.46667,55
61,1231,,,1,,,,1,3,36.03333,55.5
62,1328,,,1,,,,1,3,36.1952778,55.6988889
63,1339,,,1,,,,1,3,37.416193,54.91667
64,1572,,,1,,,,1,3,41.7,57.88333
65,1572,,,1,,,,1,3,41.7,57.88333
