pk,start_year,start_month,start_day,calendar_start,end_year,end_month,end_day,calendar_end,unit,name
1,1721,11,2,1,1917,9,14,1,1,Российская Империя
2,1991,12,25,1,,,,1,2,Российская Федерация
3,1922,11,7,1,1991,12,25,1,2,РСФСР
4,1708,12,29,1,1929,10,1,1,3,Московская губерния
5,1708,12,29,1,1711,,,1,4,Ингерманландская губерния
6,1711,,,1,1914,8,31,1,4,Санкт-Петербургская губерния
7,1914,8,31,1,1924,,,1,4,Петроградская губерния
8,1924,,,1,1927,8,1,1,4,Ленинградская губерния
9,1708,12,29,1,1781,9,16,1,5,Киевская губерния
10,1781,9,16,1,1796,11,30,1,5,Киевское наместничество
11,1796,11,30,1,1925,6,,1,5,Киевская губерния
12,1719,,,1,1775,,,1,6,Белгородская провинция
13,1719,,,1,1727,,,1,7,Киевская провинция
14,1719,,,1,1775,,,1,8,Орловская провинция
15,1719,,,1,1775,,,1,9,Севская провинция
16,1728,,,1,1779,,,1,10,Белгородская губерния
17,1547,,,1,1721,,,1,1,Русское Царство
18,1263,,,1,1363,,,1,1,Московское княжество
19,1363,,,1,1547,,,1,1,Великое Княжество Московское
20,1708,12,29,1,1713,,,1,11,Смоленская губерния
21,1713,7,28,1,1783,7,3,1,12,Рижская губерния
22,1783,7,3,1,1796,12,12,1,12,Рижское наместничество
23,1796,12,12,1,1918,2,,1,12,Лифляндская губерния
24,1708,12,29,1,1780,1,25,1,13,Архангелогородская губерния
25,1780,1,25,1,1796,12,31,1,14,Вологодское наместничество
26,1796,12,12,1,1918,4,,1,14,Вологодская губерния
27,1708,12,29,1,1775,,,1,15,Казанская губерния
28,1781,9,27,1,1796,12,31,1,19,Казанское наместничество
29,1796,12,31,1,,,,1,19,Казанская губерния
30,1714,1,,1,1717,11,22,1,16,Нижегородская губерния
31,1719,5,29,1,1779,9,5,1,18,Нижегородская губерния
32,1779,9,5,1,1796,12,12,1,18,Нижегородское наместничество
33,1796,12,12,1,1929,1,14,1,18,Нижегородская губерния
34,1717,11,22,1,,,,1,17,Астраханская губерния
35,1917,9,14,1,1922,11,7,1,1,Российская Республика
36,1708,12,29,1,1725,,,1,20,Азовская губерния
37,1725,,,1,1779,,,1,20,Воронежская губерния
38,1775,,,1,1783,,,1,21,Азовская губерния
39,1783,,,1,1796,,,1,22,Екатеринославское наместничество
40,1764,4,2,1,1783,,,1,23,Новороссийская губерния
41,1796,,,1,1802,,,1,24,Новороссийская губерния
42,1786,,,1,1870,,,1,25,Земля войска Донского
43,1870,,,1,1917,,,1,25,Область Войска Донского
44,1779,,,1,1797,,,1,26,Воронежское наместничество
45,1779,,,1,1928,,,1,27,Воронежская губерния
46,1708,12,29,1,1782,,,1,28,Сибирская губерния
47,1727,,,1,1776,,,1,29,Новгородская губерния
48,1776,,,1,1796,,,1,29,Новгородское наместничество
49,1796,,,1,1927,,,1,29,Новгородская губерния
50,1744,3,15,1,1781,,,1,30,Оренбургская губерния
51,1781,,,1,1796,,,1,30,Оренбургское наместничество
52,1796,,,1,1920,,,1,30,Оренбургская губерния
53,1772,,,1,1777,,,1,31,Псковская губерния
54,1777,,,1,1796,,,1,31,Псковское наместничество
55,1796,,,1,1927,,,1,31,Псковская губерния
56,1777,3,11,1,1777,8,14,1,32,Ярославская губерния
57,1777,8,14,1,1796,12,12,1,32,Ярославское наместничество
58,1796,12,12,1,1929,10,1,1,32,Ярославская губерния
59,1778,2,11,1,1778,9,16,1,33,Орловская губерния
60,1778,9,16,1,1796,12,23,1,33,Орловское наместничество
61,1796,12,23,1,1928,5,14,1,33,Орловская губерния
62,1782,1,30,1,1796,12,12,1,34,Тобольское наместничество
63,1796,12,12,1,1920,3,2,1,34,Тобольская губерния
64,1920,3,2,1,,,,1,34,Тюменская губерния
65,1780,11,16,1,1796,12,12,1,35,Пермское наместничество
66,1796,12,12,1,1923,11,3,1,35,Пермская губерния
67,1764,,,1,1783,3,6,1,36,Иркутская губерния
68,1783,3,6,1,1796,,,1,36,Иркутское наместничество
69,1796,,,1,1926,6,28,1,36,Иркутская губерния
70,1779,5,23,1,1796,12,12,1,37,Курское наместничество
71,1796,12,12,1,1928,7,16,1,37,Курская губерния
72,1780,9,26,1,1796,12,12,1,38,Пензенское наместничество
73,1796,12,12,1,1797,3,5,1,38,Пензенская губерния
74,1797,3,5,1,1928,5,21,1,38,Саратовская губерния
75,1780,11,7,1,1796,12,12,1,39,Саратовское наместничество
76,1801,9,9,1,1928,5,14,1,40,Пензенская губерния
77,1719,,,1,1775,11,,1,41,Московская провинция
78,1719,,,1,1775,11,,1,42,Переславль-Рязанская провинция
79,1719,,,1,1775,11,,1,43,Костромская провинция
80,1719,,,1,1775,11,,1,44,Суздальская провинция
81,1719,,,1,1775,11,,1,45,Юрьев-Польская провинция
82,1719,,,1,1775,11,,1,46,Владимирская провинция
83,1719,,,1,1775,11,,1,47,Переслав-Залесская провинция
84,1719,,,1,1775,11,,1,48,Тульская провинция
85,1719,,,1,1775,11,,1,49,Калужская провинция
86,800,,,1,,,,1,50,Москва
87,1600,,,1,1757,,,1,51,Царёв-Борисов
88,1358,,,1,,,,1,52,Боровск
89,1371,,,1,,,,1,53,Верея
90,1135,,,1,,,,1,54,Волоколамск
91,1154,,,1,,,,1,55,Дмитров
92,1152,,,1,,,,1,56,Звенигород
93,1356,,,1,,,,1,57,Кашира
94,1317,,,1,,,,1,58,Клин
95,1110,,,1,,,,1,59,Коломна
96,1402,,,1,,,,1,60,Малоярославец
97,1231,,,1,,,,1,61,Можайск
98,1328,,,1,,,,1,62,Руза
99,1339,,,1,,,,1,63,Серпухов
100,1572,,,1,,,,1,65,Судиславль
101,1757,,,1,,,,1,51,Борисово
